Test,Client,Metric,Phase,Value
BigBlock,Equalweight - Lighthouse,Max Spam Pending,Phase 2,201.00
BigBlock,Geth - Lighthouse,Max Spam Pending,Phase 2,204.00
BigBlock,Mainnet - Lighthouse,Max Spam Pending,Phase 2,203.00
BigBlock,Nethermind - Lighthouse,Max Spam Pending,Phase 2,204.00
BigBlock,Besu - Lighthouse,Max Spam Submitted,Phase 1,155.00
BigBlock,Equalweight - Lighthouse,Max Spam Submitted,Phase 1,152.00
BigBlock,Geth - Lighthouse,Max Spam Submitted,Phase 1,152.00
BigBlock,Mainnet - Lighthouse,Max Spam Submitted,Phase 1,152.00
BigBlock,Nethermind - Lighthouse,Max Spam Submitted,Phase 1,152.00
BigBlock,Besu - Lighthouse,Max Spam Submitted,Phase 2,288.00
BigBlock,Equalweight - Lighthouse,Max Spam Submitted,Phase 2,288.00
BigBlock,Geth - Lighthouse,Max Spam Submitted,Phase 2,287.00
BigBlock,Mainnet - Lighthouse,Max Spam Submitted,Phase 2,358.00
BigBlock,Nethermind - Lighthouse,Max Spam Submitted,Phase 2,287.00
BigBlock,Besu - Lighthouse,Median Block Gas Used %,Phase 1,11.40
BigBlock,Equalweight - Lighthouse,Median Block Gas Used %,Phase 1,11.40
BigBlock,Geth - Lighthouse,Median Block Gas Used %,Phase 1,4.58
BigBlock,Mainnet - Lighthouse,Median Block Gas Used %,Phase 1,11.40
BigBlock,Nethermind - Lighthouse,Median Block Gas Used %,Phase 1,11.40
BigBlock,Besu - Lighthouse,Median Block Gas Used %,Phase 2,99.88
BigBlock,Equalweight - Lighthouse,Median Block Gas Used %,Phase 2,99.96
BigBlock,Geth - Lighthouse,Median Block Gas Used %,Phase 2,99.98
BigBlock,Mainnet - Lighthouse,Median Block Gas Used %,Phase 2,99.97
BigBlock,Nethermind - Lighthouse,Median Block Gas Used %,Phase 2,99.97
BigBlock,Besu - Lighthouse,Median Block Size kB,Phase 1,21.21
BigBlock,Equalweight - Lighthouse,Median Block Size kB,Phase 1,21.22
BigBlock,Geth - Lighthouse,Median Block Size kB,Phase 1,9.22
BigBlock,Mainnet - Lighthouse,Median Block Size kB,Phase 1,21.22
BigBlock,Nethermind - Lighthouse,Median Block Size kB,Phase 1,21.22
BigBlock,Besu - Lighthouse,Median Block Size kB,Phase 2,3719.12
BigBlock,Equalweight - Lighthouse,Median Block Size kB,Phase 2,3689.03
BigBlock,Geth - Lighthouse,Median Block Size kB,Phase 2,3689.05
BigBlock,Mainnet - Lighthouse,Median Block Size kB,Phase 2,3689.04
BigBlock,Nethermind - Lighthouse,Median Block Size kB,Phase 2,3689.15
BigBlock,Besu - Lighthouse,Median CPU %,Phase 1,88.00
BigBlock,Equalweight - Lighthouse,Median CPU %,Phase 1,54.00
BigBlock,Geth - Lighthouse,Median CPU %,Phase 1,15.00
BigBlock,Mainnet - Lighthouse,Median CPU %,Phase 1,38.00
BigBlock,Nethermind - Lighthouse,Median CPU %,Phase 1,49.00
BigBlock,Besu - Lighthouse,Median CPU %,Phase 2,217.00
BigBlock,Equalweight - Lighthouse,Median CPU %,Phase 2,78.00
BigBlock,Geth - Lighthouse,Median CPU %,Phase 2,46.00
BigBlock,Mainnet - Lighthouse,Median CPU %,Phase 2,58.00
BigBlock,Nethermind - Lighthouse,Median CPU %,Phase 2,75.00
BigBlock,Besu - Lighthouse,Median CPU % per node,Phase 1,7.33
BigBlock,Equalweight - Lighthouse,Median CPU % per node,Phase 1,4.50
BigBlock,Geth - Lighthouse,Median CPU % per node,Phase 1,1.25
BigBlock,Mainnet - Lighthouse,Median CPU % per node,Phase 1,3.16
BigBlock,Nethermind - Lighthouse,Median CPU % per node,Phase 1,4.08
BigBlock,Besu - Lighthouse,Median CPU % per node,Phase 2,18.08
BigBlock,Equalweight - Lighthouse,Median CPU % per node,Phase 2,6.50
BigBlock,Geth - Lighthouse,Median CPU % per node,Phase 2,3.83
BigBlock,Mainnet - Lighthouse,Median CPU % per node,Phase 2,4.83
BigBlock,Nethermind - Lighthouse,Median CPU % per node,Phase 2,6.25
BigBlock,Besu - Lighthouse,Median Gas Gwei,Phase 1,2.16
BigBlock,Equalweight - Lighthouse,Median Gas Gwei,Phase 1,2.14
BigBlock,Geth - Lighthouse,Median Gas Gwei,Phase 1,2.05
BigBlock,Mainnet - Lighthouse,Median Gas Gwei,Phase 1,2.10
BigBlock,Nethermind - Lighthouse,Median Gas Gwei,Phase 1,2.14
BigBlock,Besu - Lighthouse,Median Gas Gwei,Phase 2,2.19
BigBlock,Equalweight - Lighthouse,Median Gas Gwei,Phase 2,2.22
BigBlock,Geth - Lighthouse,Median Gas Gwei,Phase 2,2.13
BigBlock,Mainnet - Lighthouse,Median Gas Gwei,Phase 2,2.20
BigBlock,Nethermind - Lighthouse,Median Gas Gwei,Phase 2,2.22
BigBlock,Besu - Lighthouse,Median Latency ms,Phase 1,6895.00
BigBlock,Equalweight - Lighthouse,Median Latency ms,Phase 1,6884.50
BigBlock,Geth - Lighthouse,Median Latency ms,Phase 1,8090.00
BigBlock,Mainnet - Lighthouse,Median Latency ms,Phase 1,7012.00
BigBlock,Nethermind - Lighthouse,Median Latency ms,Phase 1,6411.00
BigBlock,Besu - Lighthouse,Median Latency ms,Phase 2,11374.00
BigBlock,Equalweight - Lighthouse,Median Latency ms,Phase 2,12633.50
BigBlock,Geth - Lighthouse,Median Latency ms,Phase 2,13032.50
BigBlock,Mainnet - Lighthouse,Median Latency ms,Phase 2,12900.50
BigBlock,Nethermind - Lighthouse,Median Latency ms,Phase 2,12762.00
BigBlock,Besu - Lighthouse,Median Net RX MB/s,Phase 1,4.96
BigBlock,Equalweight - Lighthouse,Median Net RX MB/s,Phase 1,4.54
BigBlock,Geth - Lighthouse,Median Net RX MB/s,Phase 1,4.33
BigBlock,Mainnet - Lighthouse,Median Net RX MB/s,Phase 1,4.17
BigBlock,Nethermind - Lighthouse,Median Net RX MB/s,Phase 1,4.34
BigBlock,Besu - Lighthouse,Median Net RX MB/s,Phase 2,14.25
BigBlock,Equalweight - Lighthouse,Median Net RX MB/s,Phase 2,14.18
BigBlock,Geth - Lighthouse,Median Net RX MB/s,Phase 2,14.27
BigBlock,Mainnet - Lighthouse,Median Net RX MB/s,Phase 2,14.40
BigBlock,Nethermind - Lighthouse,Median Net RX MB/s,Phase 2,14.19
